PersonID,Sex,Income,Discount,Y
1,0,85.1,0,1
1,0,85.1,1,1
1,0,85.1,0,0
1,0,85.1,0,1
1,0,85.1,1,1
1,0,85.1,0,1
1,0,85.1,0,0
1,0,85.1,0,0
1,0,85.1,0,1
2,1,64.6,0,0
2,1,64.6,0,0
2,1,64.6,1,1
2,1,64.6,0,0
2,1,64.6,0,0
2,1,64.6,1,0
2,1,64.6,0,1
2,1,64.6,0,1
2,1,64.6,0,0
2,1,64.6,0,0
2,1,64.6,0,1
2,1,64.6,0,0
3,0,97.6,0,1
3,0,97.6,0,1
3,0,97.6,1,1
3,0,97.6,0,1
3,0,97.6,1,1
3,0,97.6,0,0
4,1,72.8,0,1
4,1,72.8,1,1
4,1,72.8,0,1
4,1,72.8,1,1
4,1,72.8,0,1
4,1,72.8,0,1
4,1,72.8,0,1
4,1,72.8,0,1
4,1,72.8,0,1
5,1,51.1,0,0
5,1,51.1,1,1
5,1,51.1,0,1
5,1,51.1,0,0
5,1,51.1,0,1
5,1,51.1,0,0
5,1,51.1,1,1
5,1,51.1,0,1
5,1,51.1,0,0
5,1,51.1,0,0
5,1,51.1,0,1
6,0,86.9,0,0
6,0,86.9,0,1
6,0,86.9,0,1
6,0,86.9,1,1
6,0,86.9,0,0
6,0,86.9,0,0
6,0,86.9,1,1
7,1,86.3,0,1
7,1,86.3,1,1
7,1,86.3,0,0
7,1,86.3,0,1
7,1,86.3,0,1
7,1,86.3,0,0
7,1,86.3,1,1
7,1,86.3,0,0
7,1,86.3,0,0
7,1,86.3,0,0
7,1,86.3,0,0
7,1,86.3,0,0
8,1,84.6,0,1
8,1,84.6,0,0
8,1,84.6,0,1
8,1,84.6,0,1
8,1,84.6,1,1
8,1,84.6,0,0
8,1,84.6,0,1
8,1,84.6,1,1
9,1,80.7,0,0
9,1,80.7,0,0
9,1,80.7,0,1
9,1,80.7,1,1
9,1,80.7,1,1
9,1,80.7,0,0
9,1,80.7,0,0
9,1,80.7,0,0
9,1,80.7,0,0
9,1,80.7,0,0
9,1,80.7,0,1
10,0,76.6,1,1
10,0,76.6,0,1
10,0,76.6,0,0
10,0,76.6,0,1
10,0,76.6,1,0
11,1,58.1,0,0
11,1,58.1,0,1
11,1,58.1,1,1
11,1,58.1,0,1
11,1,58.1,0,0
11,1,58.1,0,1
11,1,58.1,0,0
11,1,58.1,0,1
11,1,58.1,1,1
11,1,58.1,0,0
11,1,58.1,0,1
12,0,50.8,0,1
12,0,50.8,1,1
12,0,50.8,0,1
12,0,50.8,0,1
12,0,50.8,0,0
12,0,50.8,1,1
13,1,48.6,0,1
13,1,48.6,1,1
13,1,48.6,0,0
13,1,48.6,0,0
13,1,48.6,0,0
13,1,48.6,0,1
13,1,48.6,0,0
13,1,48.6,0,0
13,1,48.6,1,1
13,1,48.6,0,0
13,1,48.6,0,0
14,1,39.2,1,0
14,1,39.2,0,0
14,1,39.2,0,1
14,1,39.2,0,0
14,1,39.2,0,0
14,1,39.2,1,1
14,1,39.2,0,0
14,1,39.2,0,0
14,1,39.2,0,0
14,1,39.2,0,0
14,1,39.2,0,0
14,1,39.2,0,0
14,1,39.2,0,0
14,1,39.2,0,0
14,1,39.2,0,0
15,0,53.8,0,1
15,0,53.8,0,0
15,0,53.8,1,1
15,0,53.8,0,0
15,0,53.8,0,0
15,0,53.8,1,1
16,1,96.2,0,0
16,1,96.2,0,0
16,1,96.2,0,0
16,1,96.2,0,0
16,1,96.2,0,0
16,1,96.2,1,0
16,1,96.2,0,0
16,1,96.2,0,0
16,1,96.2,0,1
16,1,96.2,0,0
16,1,96.2,0,0
16,1,96.2,0,0
16,1,96.2,1,1
16,1,96.2,0,0
16,1,96.2,0,0
16,1,96.2,0,0
17,0,47.9,0,0
17,0,47.9,0,0
17,0,47.9,0,0
17,0,47.9,0,0
17,0,47.9,1,0
17,0,47.9,0,0
17,0,47.9,0,0
17,0,47.9,0,0
17,0,47.9,1,0
18,0,46,0,0
18,0,46,0,0
18,0,46,0,1
18,0,46,0,0
18,0,46,0,0
18,0,46,0,0
18,0,46,0,0
18,0,46,0,0
18,0,46,0,1
18,0,46,1,1
18,0,46,0,0
18,0,46,0,1
18,0,46,1,0
19,0,83.4,0,1
19,0,83.4,1,1
19,0,83.4,0,1
19,0,83.4,0,1
19,0,83.4,0,1
19,0,83.4,1,1
20,1,57.5,0,0
20,1,57.5,0,0
20,1,57.5,0,0
20,1,57.5,0,1
20,1,57.5,1,1
20,1,57.5,0,0
20,1,57.5,0,1
20,1,57.5,0,1
20,1,57.5,1,1
21,1,67.6,0,0
21,1,67.6,1,1
21,1,67.6,0,0
21,1,67.6,0,1
21,1,67.6,1,0
21,1,67.6,0,0
22,1,59.1,0,0
22,1,59.1,0,0
22,1,59.1,0,0
22,1,59.1,0,1
22,1,59.1,0,0
22,1,59.1,0,0
22,1,59.1,0,0
22,1,59.1,0,0
22,1,59.1,1,1
22,1,59.1,0,0
22,1,59.1,0,0
22,1,59.1,0,0
22,1,59.1,1,0
22,1,59.1,0,0
22,1,59.1,0,0
22,1,59.1,0,0
23,1,58.7,0,1
23,1,58.7,1,0
23,1,58.7,0,0
23,1,58.7,0,0
23,1,58.7,0,0
23,1,58.7,0,1
23,1,58.7,0,1
23,1,58.7,0,0
23,1,58.7,0,0
23,1,58.7,1,1
24,1,101.1,0,0
