PersonID,ItemID
1,29
1,62
1,26
1,27
1,51
1,92
1,65
1,37
1,115
1,107
1,4
1,40
1,103
1,47
1,74
1,53
1,25
1,42
1,69
1,65
1,42
1,65
1,56
1,52
1,62
1,101
1,42
2,42
2,35
2,61
2,105
2,54
2,83
2,102
2,40
2,74
2,97
2,86
2,28
2,101
2,93
2,86
2,41
2,64
2,33
2,111
2,105
2,75
2,48
2,12
3,85
3,75
3,26
3,93
3,93
3,85
3,26
3,31
3,109
3,15
3,75
3,29
3,107
3,53
3,26
3,48
3,32
3,35
3,75
3,39
3,75
3,36
3,21
3,41
3,55
3,75
3,86
3,41
4,9
4,103
4,22
4,74
4,9
4,21
4,79
4,120
4,67
4,95
4,101
4,44
4,26
4,46
4,51
4,56
4,49
4,107
4,27
4,56
4,28
4,63
4,118
4,9
4,104
4,9
4,104
4,97
5,79
5,52
5,104
5,15
5,20
5,91
5,53
5,50
5,4
5,35
5,63
5,93
5,62
5,63
5,36
5,101
5,71
5,86
5,79
5,25
6,75
6,26
6,41
6,98
6,48
6,39
6,93
6,35
6,39
6,67
6,85
6,109
6,75
6,20
6,75
6,97
6,21
6,103
6,52
6,48
6,86
6,48
6,110
6,29
6,26
6,45
6,108
6,54
6,120
6,75
6,109
6,19
6,75
6,42
6,21
6,26
6,41
6,91
6,39
6,20
6,39
6,30
7,13
7,44
7,6
7,103
7,56
7,81
7,44
7,42
7,80
7,44
7,10
7,97
7,83
7,109
7,57
7,63
7,56
7,56
7,46
7,98
7,95
7,120
8,34
8,3
8,12
8,83
8,63
8,52
8,69
8,101
8,75
8,46
8,108
8,27
8,96
8,46
8,70
8,101
8,109
8,4
8,83
8,64
8,10
8,42
8,75
8,35
8,51
8,20
8,39
9,28
9,79
9,41
9,101
9,63
9,53
9,33
9,75
9,103
9,105
9,56
9,104
9,104
9,46
9,106
9,16
9,75
9,46
9,26
9,52
9,34
9,53
9,105
9,46
10,53
10,75
10,48
10,93
10,50
10,109
10,56
10,40
10,87
10,20
10,41
10,25
10,91
10,50
10,110
10,39
10,56
10,75
10,35
10,83
10,116
10,86
10,39
10,36
10,106
10,56
10,26
10,4
10,86
10,59
10,109
10,13
11,40
11,20
11,52
11,29
11,119
11,25
11,102
11,75
11,35
11,81
11,60
11,39
11,118
11,52
11,67
11,25
11,85
11,35
11,118
11,22
11,60
11,25
11,26
11,39
11,91
11,75
11,75
12,28
12,114
12,49
12,114
12,118
12,18
12,52
12,56
12,39
12,41
12,56
12,9
12,119
12,101
12,89
12,27
12,96
12,41
12,75
12,119
12,10
12,75
12,5
12,26
12,4
12,18
12,4
12,42
12,6
12,97
12,35
12,105
12,75
12,4
12,10
12,26
12,66
12,103
12,35
12,80
13,56
13,39
13,66
13,110
13,67
13,49
13,60
13,42
13,26
13,93
13,56
13,20
13,56
13,120
13,56
13,31
13,107
13,60
13,108
13,28
13,103
13,36
13,34
13,4
13,3
13,12
13,104
13,43
13,92
13,43
13,56
13,56
13,22
13,26
13,49
13,98
13,74
13,42
13,22
13,26
13,72
14,5
14,52
14,97
14,37
14,26
14,60
14,19
14,60
14,53
14,46
14,119
14,66
14,56
14,22
14,60
14,31
14,9
14,28
14,71
14,83
14,56
14,75
14,60
14,49
14,63
14,46
14,5
14,108
14,60
14,3
14,22
14,119
14,46
14,33
15,34
15,44
15,24
15,56
15,48
15,67
15,4
15,35
15,65
15,35
15,75
15,88
15,93
15,32
15,20
15,35
15,42
15,65
15,51
15,40
15,4
15,93
15,68
15,36
15,75
15,50
15,32
15,98
15,110
16,96
16,15
16,104
16,70
16,103
16,46
16,92
16,47
16,63
16,91
16,4
16,120
16,43
16,14
16,37
16,40
16,79
17,32
17,80
17,89
17,37
17,50
17,95
17,32
17,22
17,15
17,11
17,65
17,19
17,67
17,67
17,112
17,118
17,46
17,38
17,95
17,74
17,32
17,30
17,95
17,36
17,109
17,92
17,21
17,52
17,36
18,71
18,21
18,89
18,29
18,103
18,81
18,56
18,14
18,61
18,75
18,24
18,97
18,32
18,16
18,45
18,120
18,22
18,22
18,42
18,16
18,101
18,49
18,97
18,65
18,67
18,45
18,68
18,61
18,91
18,13
18,31
19,51
19,60
19,41
19,74
19,27
19,60
19,119
19,40
19,35
19,71
19,14
19,107
19,51
19,22
19,107
19,20
19,32
19,91
19,101
19,104
19,106
20,100
20,32
20,56
20,97
20,91
20,56
20,32
20,44
20,15
20,14
20,53
20,38
20,97
20,51
20,83
20,89
20,2
20,47
20,56
20,38
20,103
20,40
20,80
20,117
20,66
20,40
20,96
20,26
20,28
20,18
20,81
20,53
20,120
20,63
20,115
20,86
20,56
20,12
20,98
20,72
20,33
20,19
20,89
20,26
21,102
21,56
21,1
21,35
21,20
21,20
21,56
21,75
21,110
21,72
21,41
21,24
21,8
21,67
21,60
21,48
21,17
21,56
21,29
21,67
21,75
21,29
21,26
21,31
21,53
21,103
21,14
21,83
21,53
21,100
21,45
21,32
21,24
21,20
21,1
21,60
21,41
21,35
21,101
21,75
22,79
22,95
22,79
22,97
22,32
22,37
22,54
22,39
22,116
22,64
22,91
22,32
22,101
22,78
22,100
22,65
23,100
23,79
23,115
23,40
23,42
23,104
23,10
23,15
23,72
23,4
23,83
23,89
23,101
23,103
23,118
23,91
23,75
23,98
23,77
23,14
23,15
23,46
23,101
